DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.Curr,MIROC5.Curr,IPSL.Curr,GFDL.Curr,MRI.Curr,ACCESS.Futr,MIROC5.Futr,IPSL.Futr,GFDL.Futr,MRI.Futr,ACCESS.domain,MIROC5.domain,IPSL.domain,GFDL.domain,MRI.domain,ACCESS.GAMk3.CurrPred,GFDL.GAMk3.CurrPred,IPSL.GAMk3.CurrPred,MIROC5.GAMk3.CurrPred,MRI.GAMk3.CurrPred,ACCESS.GAMk3.FutrPred,GFDL.GAMk3.FutrPred,IPSL.GAMk3.FutrPred,MIROC5.GAMk3.FutrPred,MRI.GAMk3.FutrPred,ACCESS.GAMk10.CurrPred,GFDL.GAMk10.CurrPred,IPSL.GAMk10.CurrPred,MIROC5.GAMk10.CurrPred,MRI.GAMk10.CurrPred,ACCESS.GAMk10.FutrPred,GFDL.GAMk10.FutrPred,IPSL.GAMk10.FutrPred,MIROC5.GAMk10.FutrPred,MRI.GAMk10.FutrPred,ACCESS.RF.CurrPred,GFDL.RF.CurrPred,IPSL.RF.CurrPred,MIROC5.RF.CurrPred,MRI.RF.CurrPred,ACCESS.RF.FutrPred,GFDL.RF.FutrPred,IPSL.RF.FutrPred,MIROC5.RF.FutrPred,MRI.RF.FutrPred,bestmodel.bayesian.meanCurrPreds,bestmodel.bayesian.varCurrPreds,bestmodel.bayesian.meanFutrPreds,bestmodel.bayesian.varFutrPreds
73008900,Lake or Pond,383766.6116,5032431.694,Stearns,Y,0,0.705500787,1.52,41.4524,1823.185593,1845.175629,1820.310118,1829.788604,1707.600836,2276.13577,2392.963013,2276.14702,2093.703727,2098.534699,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.311617761,0.302163549,0.305784761,0.303188041,0.291302792,0.998149669,0.95956405,0.998874622,0.999538679,0.996470026,0.25371871,0.236714622,0.246327549,0.245865489,0.229291494,0.706157108,0.812898543,0.681324676,0.66399443,0.745605144,0.049936667,0.06266,0.057763333,0.05333,0.049386667,0.56788,0.62731,0.598573333,0.575053333,0.656593333,0.275299293,0.007292691,0.781772487,0.039556264
73010600,Lake or Pond,385566.3867,5041339.728,Stearns,Y,0,5.057482529,11.73,39.1103,1792.416829,1809.007833,1793.651676,1799.05452,1682.647987,2241.018481,2354.481191,2249.025219,2061.841132,2067.140247,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.691621238,0.667580376,0.687300135,0.701269428,0.689584458,0.999543366,0.989543874,0.999742308,0.999896873,0.999172353,0.736206569,0.715167618,0.742236939,0.743558108,0.735308597,0.976660099,0.98527293,0.97442885,0.975412687,0.981920505,0.332236667,0.288053333,0.32825,0.323823333,0.32905,0.821916667,0.87362,0.787986667,0.8312,0.84134,0.722246398,0.006785182,0.972184576,0.001792005
73012300,Lake or Pond,386246.2812,5052627.966,Stearns,Y,1,2.841351565,4.72,75.9646,1806.998781,1824.413191,1809.188204,1817.385742,1697.124843,2256.457845,2371.759484,2260.023192,2084.063517,2081.190516,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.724895195,0.712496001,0.721391317,0.713080049,0.717673283,0.999640412,0.992654235,0.999780102,0.999911683,0.99932122,0.79313152,0.787926029,0.798170826,0.786462596,0.790315672,0.975951844,0.985523824,0.972755684,0.972725059,0.980688508,0.945886667,0.941113333,0.898686667,0.934736667,0.91171,0.837606667,0.99034,0.85155,0.846136667,0.914376667,0.781454482,0.002625604,0.968616324,0.00339906
73012800,Lake or Pond,385724.9431,5051417.006,Stearns,Y,1,3.336931633,6.4,126.7983,1803.917373,1820.559724,1803.87894,1817.356649,1697.034259,2246.484849,2362.82996,2253.647336,2077.068371,2072.710441,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.898820745,0.891967357,0.889135889,0.886208325,0.893666651,0.999878921,0.997513202,0.999925828,0.999968887,0.999761316,0.925288246,0.925618734,0.921621504,0.917034432,0.924849742,0.993144804,0.995642438,0.991922955,0.99163863,0.994264963,0.964943333,0.971183333,0.96154,0.968343333,0.958843333,0.914413333,0.997613333,0.92359,0.919893333,0.990643333,0.912613195,0.002778295,0.991425633,2.22E-04
73013300,Lake or Pond,382231.5216,5031653.02,Stearns,Y,0,1.64592,2.1336,37.8092,1823.185593,1845.175629,1820.310118,1829.788604,1707.600836,2276.13577,2392.963013,2276.14702,2093.703727,2098.534699,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.431997529,0.417878382,0.42502976,0.433895599,0.414225976,0.998897861,0.975211807,0.999329122,0.999738063,0.997945101,0.506135212,0.484370757,0.494676063,0.513874429,0.47969288,0.878703649,0.929379365,0.864931157,0.864998764,0.900818429,0.132386667,0.14013,0.155936667,0.134923333,0.139286667,0.83285,0.917126667,0.831373333,0.82639,0.88557,0.492117637,0.003548931,0.878759316,0.025282666
73015600,Lake or Pond,379857.7241,5033479.402,Stearns,Y,0,1.68855,4.3,53.9042,1823.185593,1845.175629,1820.310118,1829.788604,1707.600836,2276.13577,2392.963013,2276.14702,2093.703727,2098.534699,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.518763705,0.50088312,0.507609915,0.514755097,0.496026906,0.999222148,0.982142427,0.999518851,0.999810732,0.998522759,0.595123694,0.572003619,0.580972632,0.597488205,0.565564563,0.912204708,0.949298248,0.90069129,0.899974594,0.927667632,0.203423333,0.21817,0.220133333,0.225083333,0.240353333,0.62575,0.710133333,0.60892,0.60515,0.671833333,0.583502218,0.003968748,0.907039713,0.018705925
73015700,Lake or Pond,380410.5362,5031473.501,Stearns,Y,0,1.192044414,5.335,38.7068,1823.185593,1845.175629,1820.310118,1829.788604,1707.600836,2276.13577,2392.963013,2276.14702,2093.703727,2098.534699,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.36841156,0.356703119,0.362142608,0.36525942,0.34930918,0.998563443,0.968141489,0.99912668,0.999651147,0.997294924,0.385224327,0.36409443,0.374532427,0.385226439,0.35760613,0.81581355,0.889150704,0.796626343,0.791585578,0.845776886,0.169533333,0.195516667,0.18984,0.19923,0.191833333,0.847533333,0.942426667,0.845576667,0.838726667,0.913183333,0.385336132,0.004567849,0.841014449,0.03186702
73018300,Lake or Pond,374294.2786,5066770.606,Stearns,Y,1,2.577018367,6.4,18.0155,1817.207257,1841.162604,1823.506649,1830.159287,1714.424014,2263.151178,2380.802526,2271.910498,2090.421254,2094.11551,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.449186793,0.454798407,0.475182461,0.474668459,0.482557071,0.998819629,0.977319191,0.999383818,0.999742517,0.998150192,0.562171837,0.577194603,0.603727349,0.598585267,0.611381947,0.915073005,0.950049952,0.904931832,0.910479953,0.93193982,0.836846667,0.787686667,0.789513333,0.825923333,0.7828,0.880366667,0.948566667,0.883446667,0.890916667,0.913926667,0.567629246,0.006678473,0.90235746,0.020206494
73019600,Lake or Pond,373076.8503,5025807.081,Stearns,Y,0,1.745252932,7.47,30.2333,1878.577409,1889.001604,1869.541414,1883.494701,1755.565955,2324.891473,2439.612751,2328.742371,2139.101783,2148.235334,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.592934625,0.57389982,0.575673298,0.557609724,0.562283768,0.999459147,0.987162537,0.999711617,0.99986773,0.999082611,0.742489942,0.73082029,0.722856218,0.700471782,0.708883489,0.850586319,0.920402997,0.822010245,0.84074383,0.869935692,0.509706667,0.490153333,0.49818,0.437156667,0.423886667,0.681456667,0.73215,0.69585,0.719606667,0.70633,0.700499763,0.00324336,0.839989066,0.047366441
73024900,Lake or Pond,360918.9193,5067954.414,Stearns,Y,1,2.912301832,7.3,29.7533,1818.635157,1830.369234,1812.733936,1826.695716,1704.419924,2260.471633,2376.916539,2263.258796,2086.454048,2088.858594,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.555543322,0.542152206,0.5380876,0.541904468,0.548404671,0.99918024,0.983560565,0.999516529,0.999816604,0.998636124,0.668279569,0.658108676,0.647679188,0.647413551,0.657398461,0.943150954,0.966595823,0.93801706,0.939778334,0.955116271,0.86557,0.854156667,0.86242,0.861043333,0.839886667,0.877746667,0.934113333,0.884856667,0.88681,0.918193333,0.63946284,0.004658105,0.932328301,0.011874158
73025100,Lake or Pond,358358.6809,5060147.614,Stearns,Y,0,1.524,1.524,84.3502,2018.276715,2027.973582,2012.109606,2025.06414,1892.882887,2466.099609,2588.861074,2472.526872,2290.569211,2294.997555,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog,0.969014751,0.966624566,0.97037307,0.958120772,0.966062409,0.999979542,0.999587285,0.999990701,0.999995012,0.999972319,0.964670977,0.964061406,0.966144549,0.962519967,0.965402754,0.886041253,0.934574273,0.828567084,0.872585185,0.871717688,0.46198,0.449926667,0.4587,0.456146667,0.467983333,0.57528,0.57763,0.58894,0.590033333,0.598913333,0.961722173,2.21E-04,0.81741362,0.086355471
75007500,Lake or Pond,277227.8887,5064742.352,Stevens,Y,0,0.669253509,2.13,25.0092,1902.305036,1912.100936,1891.754129,1902.394166,1780.416647,2320.92795,2439.466595,2336.065632,2153.160213,2163.847433,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.483360589,0.452167372,0.466736819,0.432862102,0.457131594,0.998740754,0.978542093,0.999452895,0.999699131,0.998461626,0.507530817,0.47830895,0.489155256,0.439884713,0.478115108,0.58110419,0.727025849,0.519439842,0.542065896,0.591244669,0.25343,0.21746,0.19251,0.200903333,0.188113333,0.56904,0.6457,0.622846667,0.618436667,0.60259,0.489183382,0.00873076,0.693969453,0.07507248
77000700,Lake or Pond,369664.2247,5077002.678,Todd,Y,0,5.13521703,9.14,32.6291,1700.741036,1714.299095,1701.123569,1709.011243,1592.860709,2134.100619,2242.98212,2140.57178,1970.416275,1965.505918,Analog,Analog,Analog,Analog,Analog,0.429582921,0.410917155,0.411818915,0.440517129,0.419273729,0.997022055,0.950997871,0.998051061,0.999298407,0.994390206,0.354662707,0.331756249,0.338817825,0.363049454,0.343062714,0.981750624,0.976904621,0.982936847,0.980929152,0.98532141,0.196283333,0.194601111,0.216573333,0.18932,0.228858571,0.89234,0.910409048,0.867553333,0.888896667,0.880386667,0.351143226,0.006658115,0.981792842,2.16E-04
77001900,Lake or Pond,370335.5102,5070130.664,Todd,Y,1,2.21276,6.25,18.6865,1800.300204,1814.75683,1800.917976,1812.532925,1690.766264,2237.14574,2349.533855,2240.800042,2072.31121,2067.472168,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.35377261,0.3578887,0.357838547,0.348166624,0.358804254,0.997811611,0.963708363,0.998712292,0.999474738,0.996385236,0.41863489,0.42499466,0.425157796,0.411873075,0.426395889,0.903684964,0.937527643,0.897931948,0.89751681,0.924597957,0.76986,0.77888,0.76998,0.771106667,0.76989,0.850393333,0.92716,0.855443333,0.86059,0.90236,0.408476235,0.004864814,0.902291806,0.014554327
77008400,Lake or Pond,363996.4924,5070958.79,Todd,Y,0,1.8288,1.9812,41.5373,1722.7881,1743.107924,1730.71977,1737.363382,1620.366743,2159.660113,2266.432014,2168.392878,1994.906763,1991.52634,Analog,Analog,Analog,Analog,Analog,0.226490308,0.231380664,0.231674706,0.226533482,0.228291758,0.993800269,0.903778151,0.996263647,0.998306633,0.988612854,0.176043347,0.174057875,0.18261671,0.184659193,0.181994479,0.934568065,0.933679262,0.934527774,0.926346966,0.947845757,0.13098,0.1841,0.105253333,0.19864,0.09482,0.855643333,0.864933333,0.84284,0.78524,0.86792,0.1875674,0.001825298,0.943965399,0.001472973
77008900,Lake or Pond,360670.2702,5071321.662,Todd,Y,1,2.969630047,7.25,37.4059,1753.75302,1763.091444,1765.990426,1770.05258,1647.288427,2186.914482,2292.097667,2196.740089,2022.248716,2020.770784,Analog,NonAnalog,Analog,Analog,Analog,0.411748865,0.419706332,0.436208188,0.395583799,0.414262865,0.997706493,0.961303147,0.998685979,0.999387203,0.996146129,0.412895073,0.425862463,0.460076273,0.396830994,0.421212199,0.963305129,0.969780188,0.962391221,0.960899245,0.971802253,0.618963333,0.608933333,0.65897,0.648163333,0.636506667,0.937333333,0.965193333,0.933786667,0.89496,0.934303333,0.421065958,0.003447416,0.965913578,0.001028298
77015000,Lake or Pond,349514.0963,5071960.736,Todd,Y,1,1.30048,1.8288,58.2482,1763.132667,1780.35038,1758.683704,1774.860499,1662.82484,2182.178933,2293.252991,2197.793961,2020.800368,2021.772504,Analog,NonAnalog,Analog,Analog,Analog,0.311044091,0.309840083,0.290161233,0.292958131,0.319670873,0.995747395,0.934570781,0.997759897,0.998858094,0.99317059,0.247871305,0.23954603,0.222808484,0.238192221,0.268304946,0.914086734,0.925543608,0.907435148,0.897295485,0.928305103,0.700553333,0.717956667,0.757813333,0.705796667,0.764896667,0.961173333,0.96546,0.92067,0.83684,0.975993333,0.266862092,0.004824007,0.931680244,0.002500509
77016300,Lake or Pond,349876.0305,5080778.202,Todd,Y,0,1.358947368,2.29,16.2764,1780.50233,1792.445573,1776.210657,1787.215384,1661.603465,2199.78022,2313.8584,2204.482822,2038.9746,2038.394269,Analog,NonAnalog,Analog,Analog,Analog,0.19738791,0.192643746,0.189855554,0.18509552,0.178888538,0.99290534,0.898694305,0.995738381,0.998296799,0.989248538,0.174230648,0.159439757,0.161314028,0.16113834,0.148720781,0.823050629,0.86111526,0.820299297,0.802384305,0.855413546,0.14344,0.136013333,0.15632,0.16853,0.16853,0.80157,0.871753333,0.794113333,0.75803,0.792223333,0.167684612,0.002141783,0.852590758,0.013714293
77016400,Lake or Pond,345958.4803,5080198.694,Todd,Y,0,1.575887536,6.08,19.9471,1770.157195,1778.675284,1764.771391,1779.220087,1652.67651,2188.468407,2301.049715,2196.024626,2027.645354,2029.784034,Analog,NonAnalog,Analog,Analog,Analog,0.212084288,0.210529415,0.200512945,0.194320904,0.194424266,0.99306125,0.90028599,0.995964193,0.998303949,0.989821205,0.191942992,0.181605148,0.173626507,0.1721853,0.167824906,0.868613495,0.891704377,0.86629164,0.853504338,0.893234817,0.052933333,0.080746667,0.145116667,0.056363333,0.11964,0.81089,0.880273333,0.8207,0.77281,0.83058,0.182069932,0.001966664,0.887369445,0.008108004
77018200,Lake or Pond,342253.5162,5077537.87,Todd,Y,0,1.426077333,3.5,22.6346,1818.030259,1827.041635,1815.690692,1827.67866,1699.027587,2236.551951,2352.370753,2246.28565,2076.857448,2081.53262,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.314443257,0.313771163,0.312601962,0.285843551,0.291575008,0.996719998,0.951137806,0.998264421,0.999224802,0.995742817,0.351475609,0.34681053,0.345221799,0.306731808,0.31294049,0.831975842,0.886817145,0.8168356,0.813050931,0.854730495,0.21673,0.154006667,0.15957,0.233306667,0.215763333,0.746993333,0.826133333,0.750473333,0.74348,0.79569,0.3332852,0.003714924,0.850523205,0.023786695
77019500,Lake or Pond,334568.8199,5081291.686,Todd,Y,0,1.190263158,2.16,63.6795,1836.001612,1853.059671,1824.728589,1847.58088,1715.570961,2246.860081,2366.58744,2260.72576,2094.43228,2105.213871,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.531300551,0.529649961,0.491989352,0.50167727,0.488992786,0.998587656,0.980264386,0.99928656,0.999661793,0.99849751,0.571197665,0.57475135,0.513631627,0.535067066,0.513143323,0.890210969,0.928312423,0.87213281,0.867449814,0.894132454,0.408763333,0.447553333,0.390493333,0.418463333,0.39293,0.755886667,0.915436667,0.766863333,0.75886,0.831263333,0.555423991,0.006397069,0.895612273,0.017032573
77020100,Lake or Pond,341443.9271,5090837.228,Todd,Y,0,2.118205128,4.57,31.6113,1773.408943,1786.2197,1773.411647,1782.543085,1663.011563,2193.936653,2307.109623,2204.105803,2033.461964,2034.659959,Analog,NonAnalog,Analog,Analog,Analog,0.328587564,0.322556142,0.324282123,0.315602146,0.322792538,0.996369205,0.944648976,0.997969917,0.999125957,0.994628557,0.34059731,0.325947472,0.335504285,0.329385792,0.334504202,0.929963152,0.9447255,0.926877108,0.922139028,0.94390136,0.164106667,0.150663333,0.187666667,0.184266667,0.239933333,0.894223333,0.93738,0.890096667,0.84169,0.88835,0.331335223,0.00266877,0.935305869,0.003722494
77021500,Lake or Pond,335804.7553,5085466.099,Todd,Y,0,2.467977136,16.5,52.3506,1708.281839,1717.510793,1705.335798,1709.436864,1596.424213,2124.473132,2232.327495,2133.720867,1964.125465,1966.867504,Analog,Analog,Analog,Analog,Analog,0.31396767,0.289136531,0.292199429,0.293947964,0.293250963,0.993858029,0.910894481,0.996122479,0.998376751,0.990171629,0.261620352,0.224008355,0.235743503,0.245308596,0.240269293,0.969788492,0.958708246,0.970996911,0.966771685,0.974752959,0.033393333,0.028466667,0.027626667,0.02566,0.02691,0.89445,0.923946667,0.878973333,0.86916,0.88495,0.25009847,0.002218498,0.97241767,3.03E-04
80003000,Lake or Pond,344445.0274,5184769.275,Wadena,Y,0,1.979015658,4.3,33.1724,1524.137343,1531.044796,1535.081456,1527.985616,1426.144739,1917.383895,2022.404817,1920.251577,1782.907251,1775.017285,Analog,Analog,Analog,Analog,Analog,0.062096337,0.062085682,0.060723736,0.058028888,0.059388274,0.756599341,0.312683468,0.781364622,0.916489213,0.677588528,0.060040699,0.063112877,0.058449586,0.057631133,0.056234661,0.874557129,0.309224292,0.888674174,0.938928889,0.822299221,0.00971,0.01002,0.009483333,0.009006667,0.009153333,0.845226667,0.15237,0.86197,0.857263333,0.742416667,0.058690602,3.71E-04,0.827790984,0.001930727
